pair_id,ticker_y,ticker_x,pvalue,tstat,discovery_half_life,n_is_bars,is_end,eligible,pool
CCI|AMT,CCI,AMT,3.08365173381359e-08,-6.764518334291901,21.38001463633442,5883,2021-12-31,True,towers
TRNO|EGP,TRNO,EGP,0.0434280585487784,-3.390399310779359,35.793410134678574,2995,2021-12-31,True,industrial
STAG|TRNO,STAG,TRNO,0.19442509339420938,-2.714448850043987,40.323536335859366,2697,2021-12-31,True,industrial
AVB|EQR,AVB,EQR,0.10379387539631435,-3.027582286403837,24.5510239092013,7003,2021-12-31,True,apartments
AVB|ESS,AVB,ESS,0.18052123422382932,-2.7547091229965215,26.748837752161414,6944,2021-12-31,True,apartments
AVB|MAA,AVB,MAA,0.7677574323505081,-1.482722559203521,39.09275885384678,7003,2021-12-31,True,apartments
AVB|CPT,AVB,CPT,0.8671085028836288,-1.163873517157394,24.98277520663816,7003,2021-12-31,True,apartments
AVB|UDR,AVB,UDR,0.31380474759917465,-2.4235050765636483,38.278049215278465,7003,2021-12-31,True,apartments
ESS|EQR,ESS,EQR,0.0887161055867613,-3.0979459432652248,20.357808396994137,6944,2021-12-31,True,apartments
EQR|MAA,EQR,MAA,0.6524301654376662,-1.7526358991747713,36.84859773740053,7032,2021-12-31,True,apartments
EQR|CPT,EQR,CPT,0.16952919636386776,-2.7880108475352037,28.462638524838486,7150,2021-12-31,True,apartments
EQR|UDR,EQR,UDR,0.21677501908415175,-2.6534249379790005,27.993545510936016,7150,2021-12-31,True,apartments
ESS|MAA,ESS,MAA,0.7492608771509093,-1.530628670992872,43.86757971719816,6944,2021-12-31,True,apartments
ESS|CPT,ESS,CPT,0.4481358950886201,-2.154115124212108,32.02520859264713,6944,2021-12-31,True,apartments
ESS|UDR,ESS,UDR,0.32884311637713826,-2.3916011953352427,37.06042665104214,6944,2021-12-31,True,apartments
CPT|MAA,CPT,MAA,0.2809184897802725,-2.4958135556188705,27.947099994439075,7032,2021-12-31,True,apartments
UDR|MAA,UDR,MAA,0.1605672808129741,-2.816255611800803,31.169309017604395,7032,2021-12-31,True,apartments
CPT|UDR,CPT,UDR,0.13424673161151623,-2.9060961497264146,36.78687668579412,7165,2021-12-31,True,apartments
WELL|VTR,WELL,VTR,0.30798681646460546,-2.436027574032511,24.340211586642198,6208,2021-12-31,True,healthcare
WELL|OHI,WELL,OHI,0.6679065689435866,-1.7195652859262944,44.57588952665518,7406,2021-12-31,True,healthcare
CTRE|WELL,CTRE,WELL,0.25338543185286366,-2.5597173615716087,41.84913759035399,1914,2021-12-31,True,healthcare
SBRA|WELL,SBRA,WELL,0.003074880803267263,-4.248626643911453,34.072515130370135,4975,2021-12-31,True,healthcare
VTR|OHI,VTR,OHI,0.6525092978403205,-1.7524685448115527,41.72379548239375,6208,2021-12-31,True,healthcare
VTR|CTRE,VTR,CTRE,0.13879028953083322,-2.889750301046542,27.546681423161225,1914,2021-12-31,True,healthcare
SBRA|VTR,SBRA,VTR,0.0008431065096031823,-4.597471819207775,40.046941242682365,4975,2021-12-31,True,healthcare
CTRE|OHI,CTRE,OHI,0.34757884314215093,-2.3526851295066886,40.73801977735182,1914,2021-12-31,True,healthcare
SBRA|OHI,SBRA,OHI,0.0024555895645824873,-4.311627733571349,23.53922025833292,4975,2021-12-31,True,healthcare
SBRA|CTRE,SBRA,CTRE,0.049987998895042254,-3.335880508180201,44.28475133696095,1914,2021-12-31,True,healthcare
